turn,fromRank,fromFile,toRank,toFile,timeSpent,win
6,7,1,6,3,3,1
12,5,5,3,4,5,1
14,3,4,4,6,4,1
16,6,3,5,5,6,1
6,7,1,5,2,3,1
20,7,6,5,7,10,1
28,5,7,4,5,9,1
6,7,6,5,5,3,0
12,7,1,6,3,6,0
14,6,3,5,1,4,0
18,5,5,6,3,7,0
20,6,3,4,4,5,0
28,5,1,3,2,10,0
32,3,2,5,3,9,0
34,5,3,6,5,9,0
54,6,5,7,3,18,0
56,7,3,5,2,14,0
62,5,2,3,1,17,0
76,3,1,4,3,22,0
78,4,3,5,5,20,0
80,5,5,4,3,20,0
82,4,3,3,5,21,0
2,7,6,5,5,1,1
12,7,1,6,3,6,1
16,6,3,5,1,5,1
